Comment,Designator,Footprint,LCSC,Quantity
WS2812B,D11,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,,1
u1,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k,R60,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22u,C83,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1k,R56,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
M1,R59,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
u1,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1k,R58,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
TPS54202DDC,U27,SOT-23-6_Handsoldering,,1
1k,R55,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RotaryEncoder,SW3,Encoder Alps-Alpine EC35,,1
u1,C25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
u1,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
ToBase,J5,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal_handsolder,,1
74AHCT1G125,U5,SOT-353_SC-70-5_Handsoldering,,1
